contract_id,contract_title,full_contract_text,chapter_number,chapter_title,section_reference,category_derived_non_canonical,canonical_version,status
GP-189,Rättelse och radering,Användaren ska kunna korrigera och ta bort minnen inom tillämpliga rättsliga och säkerhetsmässiga gränser.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-190,Verifierad glömska,Borttagna eller utgångna minnen får inte fortsätta hämtas eller påverka rekommendationer.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-191,Kvalitet före mängd,GainPilot ska prioritera relevanta och verifierade minnen framför maximal datalagring.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-192,Utfallsbaserat lärande,Personalisering ska bedöma resultatet av tidigare val och inte endast registrera att valet gjordes.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-193,Personalisering utan låsning,"Tidigare mönster ska påverka standardval men får inte hindra användaren från att förändra mål, beteende eller träningsform.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-194,Delad profil ska vara begränsad,Den globala Omnira-profilen ska endast innehålla uttryckligt definierade och lämpliga delade uppgifter.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,domain,v1.0,Canonical Review Candidate
GP-195,Ingen dold profilering,GainPilot får inte skapa ogenomskinliga psykologiska eller känsliga profiler som användaren inte kan granska.,12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-196,Minnesskrivning kräver styrd process,"Externa dokument, verktyg och modeller får inte skriva direkt till canonical användarminne.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-197,Skydd mot minnesförgiftning,"Minnesarkitekturen ska använda provenance, behörighet, säkerhetsnivå, bekräftelse och rollback för att motverka felaktig påverkan.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-198,Versionshanterad profil,"Användarprofil, minnesposter, konsolideringar och policys ska versioneras.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-199,En gemensam canonical profil,"Arnold, Atlas och GainPilots motorer ska använda samma styrda canonical användarprofil inom respektive behörighet.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,agent,v1.0,Canonical Review Candidate
GP-200,Branchbaserad minnesutveckling,"Förändringar av minnesmodell, Hermes-policy, retention, säkerhetsklass och personaliseringsregler ska ske på separat branch med tester, pull request, granskning och kontrollerad merge.",12,"Minne, personalisering och kontinuerligt lärande",12.149 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-201,Program som versionshanterat kontrakt,"Varje aktivt program ska vara en strukturerad, versionshanterad och spårbar representation av mål, plan, progression och mandat.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-202,Programkälla och ägande,"Program och programkomponenter ska ha definierad källa, ägare och ändringsrätt.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-203,Huvudmål och prioritering,Varje aktivt program ska ha ett tydligt huvudmål och en explicit prioritering mellan sekundära mål.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-204,Programvecka och kalendervecka,GainPilot ska skilja mellan programmets interna progression och kalenderns datumstruktur.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-205,"Fasta, flexibla och asynkrona upplägg","Programmodellen ska stödja fasta kalenderdagar, flexibla fönster, hybridupplägg och asynkron träningsordning.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-206,Realistisk passlängd,Kalenderbokningar ska baseras på realistiskt uppskattad och senare kalibrerad tidsåtgång.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-207,Prioriterad reservstruktur,"Relevanta pass ska kunna ha kortversion, minimipass eller reservpass som bevarar programmets viktigaste funktion.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-208,Missade pass skapar inte automatisk skuld,Missade pass får inte automatiskt staplas på framtida dagar utan program- och återhämtningsanalys.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-209,Program- och kalenderlåsningar,Användarlåsta programdelar och kalenderhändelser får inte ändras automatiskt.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-210,Minimerad kalenderåtkomst,GainPilot ska i första hand använda tillgänglighetsinformation och inte privata kalenderdetaljer.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-211,Separata läs- och skrivbehörigheter,Kalenderläsning och kalenderskrivning ska kräva separata scopes och användarbeslut.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,authority,v1.0,Canonical Review Candidate
GP-212,Källsystem för kalenderdata,Varje synkroniserad datatyp ska ha ett definierat källsystem och en konfliktpolicy.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-213,Idempotent synkronisering,Kalender- och programuppdateringar ska kunna upprepas utan oavsiktliga dubbletter.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-214,Kontrollerad automatisk ombokning,"Automatisk flytt av aktiviteter får endast ske inom uttryckliga tids-, risk- och användarmandat.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,authority,v1.0,Canonical Review Candidate
GP-215,Programkonsekvens före ombokning,"Flytt av pass ska analyseras i relation till återhämtning, övriga pass och programmets prioritet.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-216,Originalprogram ska respekteras,GainPilot får inte förändra ett externt eller tränarägt program utanför användarens och ägarens definierade mandat.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-217,Komponentbaserad planering,"Träning, kondition, skills och kost ska kunna vara separata komponenter inom en samordnad övergripande plan.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-218,Förklarbar planering,"Betydelsefull programplacering och ombokning ska kunna förklaras genom mål, tillgänglighet, prioritet och återhämtning.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-219,Återställningsbar förändring,Program- och kalenderändringar ska ha historik och kunna återställas när säkerhet och aktuell version tillåter det.,13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-220,Branchbaserad planeringsutveckling,"Förändringar av programmodell, kalenderintegration, ombokningsmotor och behörighetspolicy ska ske på separat branch med tester, pull request, granskning och kontrollerad merge.",13,"Program, kalender och långsiktig planering",13.156 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-221,Planerat och genomfört ska separeras,"GainPilot ska bevara skillnaden mellan programplan, dagens anpassade plan och faktiskt genomförande.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-222,Stabil sessionsidentitet,Varje aktiv träningssession ska ha en unik identitet och kopplas till rätt program- och passversion.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-223,Domänriktig sessionsmodell,"Styrka, CrossFit, calisthenics och kondition ska representeras genom modeller som bevarar respektive träningsforms riktiga struktur.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-224,Snabb registrering,Det aktiva passet ska minimera användarens administrativa arbete och erbjuda snabb bekräftelse av planerade värden.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-225,Saknad data är inte noll,Ej registrerade värden får inte automatiskt behandlas som misslyckade eller nollställda resultat.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-226,Uppvärmning som separat fas,Uppvärmning och uppvärmningsset ska hållas åtskilda från arbetsset men kunna användas för dagskalibrering.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-227,Belastningsförslag ska vara förklarbara,"Autoreglerad belastning ska kopplas till plan, historik, uppvärmning och användarens mandat.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,authority,v1.0,Canonical Review Candidate
GP-228,Mikroanpassning inom mandat,"Automatisk justering av belastning, vila, repetitioner eller set får endast ske inom explicit kontrollnivå och riskgräns.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-229,Övningsbyte ska använda substitutionsmotorn,"Ett byte under pass ska följa programfunktion, bytesorsak, säkerhetsfilter och definierad giltighet.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-230,Säkerhet har företräde,"Smärta, allvarliga symptom och aktiva begränsningar ska kunna stoppa normalt progressions- och optimeringsflöde.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-231,Kamera och mikrofon kräver aktivt val,Sensorer som kamera och mikrofon får endast aktiveras genom tydligt användarval och för ett definierat syfte.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-232,Videoanalys är osäker assistans,AI-baserad teknikbedömning ska uttrycka osäkerhet och får inte diagnostisera skada eller medicinska tillstånd.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-233,Råmedia ska ha begränsad retention,"Råvideo, ljud och högfrekvent sensordata ska normalt inte lagras längre än uppgiften kräver utan uttryckligt användarval.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-234,Offlineförmåga,Användaren ska kunna genomföra och registrera grundläggande planerat träningspass utan nätanslutning.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-235,Idempotent sessionssynkronisering,"Set, aktiviteter och sessionshändelser ska kunna synkroniseras igen utan oavsiktliga dubbletter.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-236,Kraschåterställning,"Ett aktivt pass ska kunna återställas efter app-, nätverks- eller enhetsfel utan att registrerade resultat förloras.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-237,Begränsad livecoachning,Arnold ska leverera minsta relevanta coachning enligt användarens valda detaljnivå.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,agent,v1.0,Canonical Review Candidate
GP-238,Passammanfattning ska vara prioriterad,"Efter passet ska GainPilot sammanfatta huvudsyfte, viktiga resultat, avvikelser och nästa steg utan att skapa en datadump.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-239,Progression kräver kvalificerat utfall,"Automatisk progression ska kräva tydlig programregel, tillräcklig datakvalitet och avsaknad av blockerande säkerhetssignal.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-240,Sessioner ska vara versionshanterade och auditerbara,"Passdata, efterhandsredigeringar, permanenta byten och säkerhetshändelser ska kunna spåras och återställas.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-241,Sessionsminne ska vara tillfälligt och minimerat,Hermes ska skapa ett uppgiftsbegränsat minnespaket för passet och inte leverera irrelevant Atlas- eller Omnira-kontext.,14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-242,Branchbaserad sessionsutveckling,"Förändringar av sessionsmodell, autoreglering, timer, säkerhetsflöden, sensorer och synkronisering ska ske på separat branch med tester, pull request, granskning och kontrollerad merge.",14,Träningspasset och den aktiva coachupplevelsen,14.189 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-243,Canonical medieidentitet,Varje publicerad medieresurs ska ha stabil identitet och kopplas till exakt canonical övning och variant.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-244,Instruktionssyfte före produktion,Varje resurs ska ha ett definierat pedagogiskt syfte innan den produceras eller licensieras.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-245,Teknisk korrekthet före visuell effekt,Rörelsens och utrustningens korrekthet ska alltid ha företräde framför visuell stil och varumärkeseffekt.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-246,Flera mediatyper,"GainPilot ska kunna använda 3D, video, stillbilder, text, ljud och interaktiv media beroende på användningsfallet.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-247,Variantkorrekt demonstration,Media från en närliggande övning eller variant får inte visas som om den vore den planerade canonical rörelsen.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-248,Begränsad snabbvy,Under aktivt träningspass ska demonstration och teknikpunkter begränsas till den minsta mängd som stödjer nästa handling.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-249,Individuell variation,Visuella standarder ska beskrivas som pedagogiska referenser och får inte framställas som identiska krav för alla kroppar.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-250,Muskelmarkering är pedagogisk förenkling,Muskelvisualisering får inte presenteras som exakt realtidsmätning eller fullständig biologisk sanning.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-251,Fel måste märkas tydligt,Felvisualisering får aldrig kunna förväxlas med canonical huvuddemonstration.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-252,Progressioner ska ha villkor,"Visuella progressioner och regressioner ska kopplas till förkunskapskrav, kvalitetskriterier och övningsgrafen.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-253,Hybridbibliotek,GainPilot ska kunna kombinera licensierat och egenproducerat material utan att canonical domänlogik låses till en leverantör.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,domain,v1.0,Canonical Review Candidate
GP-254,AI är produktionsstöd,"Generativ AI får stödja styling, lokalisering och produktion men får inte ensam definiera canonical rörelsedata.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-255,Teknisk granskning före publicering,Allt canonical rörelsemedia ska granskas av relevant teknisk kompetens före produktionsanvändning.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,governance,v1.0,Canonical Review Candidate
GP-256,Licensierad användning,"Varje extern resurs ska ha känd, maskinläsbar och tillämpad licensstatus.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-257,Tillgänglighet som kärnkrav,"Media ska ha textalternativ, minskad rörelse, ljudoberoende information och tillräcklig kontrast.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-258,Versionshanterad media,"Media, metadata, text, ljud, licens och canonical koppling ska versioneras.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-259,Snabb avpublicering,"Felaktig, osäker eller rättighetsmässigt ogiltig media ska kunna avpubliceras och ersättas med fallback utan full klientrelease.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-260,Begränsad privat mediaåtkomst,Användarvideo och bilder ska vara privata som standard och endast delas genom Hermes och explicit mandat.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-261,Begränsad retention av råmedia,"Privat råvideo, ljud och bilder ska normalt raderas när uppgiften är klar om användaren inte aktivt väljer att spara dem.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-262,Offlinefallback,Grundläggande instruktion och relevant godkänd media ska kunna vara tillgänglig under offlinepass när licens och lagringspolicy tillåter det.,15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-263,Observerbar medieleverans,"Det ska gå att spåra vilken version, vinkel, källa och fallback som användes utan att exponera privat innehåll.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-264,Branch- och gatebaserad medieutveckling,"Förändringar av mediaarkitektur, canonical koppling, produktionspipeline, tekniktext och publiceringsregler ska ske genom separat branch, kvalitetstester, granskning och kontrollerad publicering.",15,Animerade övningsdemonstrationer och visuellt tekniskt stöd,15.198 ARKITEKTURKONTRAKT,governance,v1.0,Canonical Review Candidate
GP-265,Kostplanen ska vara genomförbar,"GainPilot ska prioritera praktisk, säker och hållbar kostplanering framför teoretisk maximal precision.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-266,Canonical kostmodell,"Kostmål, måltider, recept, ingredienser, portioner, byten, säkerhetsregler och utfall ska representeras strukturerat och versionshanterat.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-267,Detaljnivån ska vara användarstyrd,GainPilot ska stödja allt från enkla riktlinjer till detaljerad loggning utan att kräva samma precision av alla.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-268,Energi- och näringsvärden är uppskattningar,"Beräknade behov, näringsvärden och restaurangmåltider ska uttrycka relevant osäkerhet.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-269,Planerat och faktiskt intag ska separeras,"Planerad måltid, användarens byte och faktiskt genomförande ska bevaras som separata datanivåer.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-270,Canonical ingrediensidentitet,Ingredienser och produkter ska identifieras strukturerat och inte enbart genom fritext.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-271,Rå och tillagad mängd ska skiljas,"Vikt, volym och näringsberäkning ska ange vilken livsmedelsform som avses.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-272,Provenance för näringsdata,"Näringsvärden, priser, allergener och produktinformation ska ha känd källa, aktualitet och säkerhetsnivå.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-273,Allergier har absolut säkerhetsprioritet,"Aktiva allergier får inte övertrumfas av preferens, popularitet, pris, sponsring eller automatisk substitution.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-274,Medicinska kostbehov kräver särskilt scope,"GainPilot får inte skapa, ändra eller tolka medicinska kostupplägg utanför definierad professionell och användargodkänd ram.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-275,Måltidsbyte ska bevara funktion,"Måltidsbyten ska utgå från måltidens syfte, säkerhet, användarens önskemål och praktiska begränsningar — inte enbart från kalorilikhet.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-276,Bytesorsaken ska påverka valet,"Saknad ingrediens, tidsbrist, budget, smak, restaurang och kostval ska behandlas som olika bytesproblem.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-277,Tillfälligt byte är inte permanent preferens,En enskild måltidsändring får inte automatiskt förändra användarens långsiktiga kostprofil.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-278,Reservmåltider ska vara planerade,"GainPilot ska erbjuda säkra, enkla och relevanta reservmåltider innan vardagsproblem uppstår.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-279,Ingen kompensatorisk skuld,"En avvikande måltid får inte automatiskt leda till extrem restriktion, överdriven träning eller moraliserande återkoppling.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-280,Recept ska vara granskningsbara,"Canonical recept ska ha källa, ingrediensmodell, allergenkontroll, portionslogik, praktisk validering och versionsstatus.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-281,AI-recept är utkast före granskning,Generativ AI får skapa privata receptförslag men inte direkt publicera canonical recept eller säkerhetskritiska instruktioner.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-282,Familjemåltider utan dold profilering,GainPilot ska kunna skala gemensamma måltider utan att skapa onödiga eller känsliga profiler om andra hushållsmedlemmar.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-283,Minimerad kostkontext,"Hermes ska dela den minsta kalender-, familje-, inköps- och hälsokontext som kostuppgiften kräver.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-284,Privat måltidsmedia,"Måltidsbilder, etikettfoton och privata recept ska vara privata som standard och ha begränsad retention.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-285,Idempotent och offlinekapabel kostlogg,Måltider och ändringar ska kunna registreras offline och synkroniseras utan dubbletter eller tyst dataförlust.,16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-286,Branch- och gatebaserad kostutveckling,"Förändringar av kostmodell, allergenregler, receptmotor, byteslogik och canonical innehåll ska ske genom separat branch eller innehållsgren, tester, granskning och kontrollerad publicering.",16,"Kostplanering, recept och intelligenta måltidsbyten",16.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-287,Progression är flerdimensionell,"GainPilot ska mäta relevant utveckling inom prestation, teknik, genomförbarhet, kontinuitet, kost, återhämtning och användarupplevelse — inte genom en enda universell poäng.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-288,"Mätvärde, trend, tolkning och rekommendation ska separeras","Observerad data, beräkning, analys och åtgärd ska vara skilda och spårbara lager.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-289,Provenance för statistik,"Varje viktigt mätvärde och varje beräknad trend ska ha källa, tidpunkt, modellversion och datakvalitet.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-290,Trend före enskilt värde,GainPilot ska normalt använda flera jämförbara datapunkter innan en förändring klassificeras som progression eller tillbakagång.,17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-291,Domänspecifika tidsfönster,"Trendfönster och stabilitetskrav ska anpassas efter måttets biologiska, praktiska och tekniska egenskaper.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-292,Jämförbarhet före analys,"Resultat från olika övningsvarianter, standarder, miljöer, sensorer eller mätmetoder får inte jämföras direkt utan tydlig kontext.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-293,Osäkerhet ska vara synlig,"GainPilot ska uttrycka när underlaget är begränsat, modellen är osäker eller förändringen kan ligga inom normal variation.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-294,Processmål ska synliggöras,Användaren ska kunna få återkoppling på fungerande process och kontinuitet även innan slutresultatet har förändrats.,17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,operations,v1.0,Canonical Review Candidate
GP-295,Kontrollerad anpassning räknas som följsamhet,"Godkända reservpass, kortversioner, måltidsbyten och minimilägen får inte automatiskt klassificeras som misslyckanden.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-296,Planeringskvalitet ska mätas,Återkommande missade eller flyttade aktiviteter ska kunna analyseras som problem i planen och inte endast i användarens beteende.,17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-297,Kvalitativa framsteg är giltiga,"GainPilot ska kunna dokumentera teknik, självständighet, trygghet och fungerande vanor utan att tvinga fram en falsk numerisk poäng.",17,"Progression, statistik och återkoppling",17.217 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
